"% GC","L13_pBIC10_1733","L14_pBIC10_1734","L15_pBIC10_1740","P10_pBIC_1766","P11_pBIC_1521","P9_pBIC_1761","Y2_YC_1669","Y3_YC_1671","Y4_YC_1067","Y6_YC_1070"
34,1.6556756122087375,1.5657613144229698,1.62402862343441,1.4656418904633937,1.384176482788304,1.5836684161018553,2.070647115756493,2.159135215720304,1.9278581510992359,2.0422169613758765
35,1.8221443684710608,1.7626458129508475,1.8206536286096902,1.6435258234818655,1.5547929271572107,1.7775628181544056,2.334637918628463,2.4335329773407968,2.165458530214447,2.2860543466776932
36,1.9886131247333843,1.959530311478725,2.017278633784971,1.8214097565003375,1.7254093715261174,1.9714572202069556,2.598628721500433,2.7079307389612897,2.4030589093296593,2.52989173197951
37,2.11358957298669,2.0702540773561253,2.139393275179867,1.9333151638040846,1.8514722513169646,2.08921272441607,2.6278767708558908,2.7258704141526526,2.455663016090055,2.561686703268626
38,2.2385660212399956,2.180977843233526,2.2615079165747636,2.0452205711078317,1.9775351311078118,2.2069682286251844,2.657124820211349,2.743810089344016,2.508267122850451,2.5934816745577414
39,2.454675382130135,2.3717015441630687,2.449484257854342,2.232323485979202,2.160750080279368,2.3943509007631367,2.888287915830222,2.968160222771499,2.7078308278838557,2.7897482996437226
40,2.670784743020275,2.5624252450926113,2.6374605991339206,2.4194264008505724,2.343965029450925,2.581733572901089,3.1194510114490948,3.1925103561989827,2.90739453291726,2.986014924729704
41,2.793752837197598,2.6911792351339465,2.7826956438872648,2.5914734212644697,2.509786627495169,2.7406232948543536,3.1651328982069398,3.2201676108286463,2.991644743517224,3.0489496521790977
42,2.9167209313749205,2.819933225175282,2.9279306886406085,2.7635204416783674,2.675608225539412,2.8995130168076177,3.210814784964785,3.24782486545831,3.0758949541171883,3.111884379628491
43,2.965808674487438,2.8903132726013996,3.0034226342634747,2.8647263793788893,2.7877310266947797,2.9808084114362177,3.1166225385611805,3.133525578578275,3.013759184029088,3.034647853898826
44,3.0148964175999557,2.960693320027518,3.078914579886341,2.9659323170794116,2.899853827850147,3.062103806064817,3.0224302921575763,3.01922629169824,2.951623413940987,2.9574113281691607
45,3.1184056327295413,3.068921937186193,3.191165544637229,3.122665254168651,3.0597888866645393,3.2013157908871976,3.0129815530175157,2.9904229081786604,2.9770425461365173,2.95451981415334
46,3.221914847859127,3.177150554344868,3.303416509388117,3.279398191257891,3.2197239454789313,3.3405277757095777,3.0035328138774555,2.9616195246590804,3.0024616783320477,2.951628300137519
47,3.2985882265791426,3.2950350270888573,3.4045409265275053,3.4093132966067863,3.3589035257666358,3.4500279268924445,3.1430093211401693,3.094238486683285,3.1155103546716383,3.0723163955776545
48,3.3752616052991584,3.4129194998328463,3.505665343666893,3.5392284019556826,3.4980831060543407,3.559528078075311,3.2824858284028835,3.226857448707489,3.2285590310112284,3.193004491017789
49,3.4076055425197738,3.418781249541088,3.5028534291151456,3.569489776484156,3.539876715304555,3.5693741773053156,3.158765759782081,3.0793520906826166,3.160598128335922,3.1123146992227646
50,3.4399494797403896,3.4246429992493286,3.5000415145633976,3.59975115101263,3.5816703245547705,3.57922027653532,3.0350456911612795,2.9318467326577444,3.0926372256606163,3.031624907427741
51,3.4354824817828282,3.4517936702331506,3.4888612485426074,3.628645763839418,3.6278163679954636,3.5844986616659664,3.063277129971516,2.959183234639071,3.1240409990765983,3.0431598091312573
52,3.4310154838252673,3.4789443412169727,3.477680982521817,3.657540376666206,3.6739624114361566,3.5897770467966135,3.0915085687817534,2.9865197366203984,3.1554447724925807,3.0546947108347737
53,3.363985897251518,3.4253058373562384,3.4035818087470893,3.6203038044877505,3.650849449731474,3.5250780932431796,3.00994401909006,2.9006070591181556,3.081626017510428,2.9762100635669664
54,3.296956310677769,3.3716673334955045,3.3294826349723623,3.5830672323092956,3.6277364880267915,3.460379139689746,2.9283794693983674,2.814694381615913,3.0078072625282757,2.8977254162991586
55,3.1572115876614397,3.2632547659164617,3.1902396346007382,3.4327767221917194,3.496455807718183,3.2988244013691492,2.7951430242423596,2.686354505081779,2.8983434404717716,2.770318688460647
56,3.0174668646451104,3.154842198337419,3.0509966342291146,3.2824862120741427,3.365175127409574,3.1372696630485524,2.6619065790863514,2.5580146285476455,2.7888796184152675,2.6429119606221354
57,2.861025518723342,2.994507312383751,2.877700069160987,3.1040469680794236,3.1965085735580017,2.949523391778313,2.5124812258831053,2.4106216361002164,2.654572326730654,2.5018966190081553
58,2.7045841728015745,2.8341724264300825,2.7044035040928596,2.925607724084705,3.027842019706429,2.7617771205080737,2.363055872679859,2.263228643652787,2.520265035046041,2.3608812773941747
59,2.473339330427675,2.6090160842445242,2.4833952245916393,2.6954169806043504,2.7921715336712296,2.5279291649392266,2.2007496949374135,2.114192049258944,2.3487472422005364,2.2000926530659455
60,2.2420944880537754,2.3838597420589656,2.262386945090419,2.4652262371239955,2.55650104763603,2.294081209370379,2.038443517194968,1.9651554548651022,2.1772294493550324,2.039304028737716
61,2.005368213513353,2.136310776075622,2.0154512311707578,2.2091438632363736,2.299227126483622,2.049672351731918,1.850487394557016,1.788228702644715,1.9782966214159419,1.8531596498545928
62,1.7686419389729302,1.8887618100922785,1.7685155172510958,1.9530614893487512,2.0419532053312137,1.805263494093456,1.6625312719190637,1.6113019504243278,1.7793637934768514,1.6670152709714698
63,1.5334491114925661,1.6586737468601127,1.5408940132170923,1.6961195104628426,1.7808378769673978,1.563937998414873,1.4481453247233935,1.4089652551231322,1.560461711644812,1.4566980296308338
64,1.298256284012202,1.4285856836279471,1.3132725091830888,1.439177531576934,1.5197225486035815,1.32261250273629,1.2337593775277234,1.2066285598219368,1.341559629812773,1.2463807882901978
65,1.1120322164610998,1.2344902434289904,1.1271763122286627,1.227832526283089,1.3055500151628567,1.1293316742194746,1.0665228436027583,1.0464616442297636,1.1608976978190537,1.0845738058271037
66,0.9258081489099975,1.0403948032300336,0.9410801152742369,1.0164875209892437,1.0913774817221318,0.9360508457026591,0.8992863096777931,0.8862947286375902,0.9802357658253347,0.9227668233640096
67,0.7748287465299093,0.8800671108682234,0.790154825929548,0.8436577375018172,0.9112901405547446,0.7771538930848321,0.7697555739285594,0.7630102815831317,0.8392720561764048,0.8034991720144747
68,0.623849344149821,0.7197394185064132,0.6392295365848591,0.6708279540143908,0.7312027993873575,0.6182569404670051,0.6402248381793255,0.6397258345286733,0.6983083465274751,0.68423152066494
69,0.5161008402582145,0.5967772975666987,0.52851882513307,0.5501789602322446,0.6068409532883654,0.5069914741788011,0.5473340992277684,0.5562147158679573,0.5913670103569876,0.5923777587623681
70,0.40835233636660784,0.47381517662698425,0.41780811368128085,0.42952996645009844,0.4824791071893733,0.39572600789059703,0.4544433602762114,0.4727035972072414,0.48442567418650007,0.5005239968597963
71,0.34264695056512345,0.39218743450298843,0.3439189300519603,0.34842382714812703,0.39552976128956907,0.3223234001080385,0.38036196602928224,0.39967312240618746,0.40753228804940156,0.4300596500843563
72,0.276941564763639,0.31055969237899267,0.27002974642263966,0.26731768784615556,0.3085804153897649,0.24892079232548006,0.3062805717823531,0.3266426476051335,0.330638901912303,0.3595953033089162
73,0.23322960495665068,0.26677332639569634,0.2312850995475865,0.2327418953823013,0.27042236881630216,0.21432516125001744,0.2704419756362519,0.2930443184444959,0.28753476125120986,0.3176060413599828
74,0.18951764514966232,0.22298696041239996,0.19254045267253334,0.19816610291844708,0.23226432224283944,0.17972953017455484,0.23460337949015075,0.2594459892838583,0.2444306205901167,0.27561677941104945
75,0.17548993813069358,0.19350556566660565,0.16634637960434281,0.16745392243139653,0.19736906515899166,0.15299879623896362,0.19922902182891375,0.2191077684871535,0.2074522249404243,0.23869983666158606
76,0.1614622311117248,0.16402417092081129,0.1401523065361523,0.13674174194434596,0.16247380807514386,0.1262680623033724,0.16385466416767672,0.17876954769044864,0.17047382929073188,0.20178289391212267
